+1 1:29.3280 2:29.3280 3:29.3280 4:68.8901 5:68.8901 6:68.8901 7:92.6344 8:92.6344 9:92.6344
+1 1:29.5152 2:29.3904 3:29.4350 4:68.9283 5:68.6994 6:68.8222 7:92.9521 8:92.6344 9:92.7917
-1 1:29.5776 2:29.4528 3:29.5008 4:68.6689 5:68.5316 6:68.5879 7:92.8886 8:92.6344 9:92.7762
+1 1:29.5776 2:29.4528 3:29.5128 4:68.6231 5:68.3103 6:68.5233 7:92.9521 8:92.5709 9:92.7884
-1 1:27.4560 2:27.4560 3:27.4560 4:74.6427 5:74.6427 6:74.6427 7:93.2063 8:93.0156 9:93.0792
-1 1:27.5808 2:27.4560 3:27.5376 4:74.6198 5:74.2689 6:74.4332 7:93.2063 8:93.0156 9:93.0694
+1 1:27.7056 2:27.5808 3:27.6382 4:74.2383 5:73.9561 6:74.0912 7:93.2063 8:92.9521 9:93.0893
-1 1:27.7680 2:27.6432 3:27.7104 4:73.9332 5:73.7043 6:73.8217 7:93.2063 8:92.9521 9:93.1012
+1 1:27.8304 2:27.7056 3:27.7780 4:73.7424 5:73.6051 6:73.6777 7:93.2698 8:92.9521 9:93.1173
+1 1:27.8928 2:27.7680 3:27.8184 4:73.5517 5:73.4067 6:73.4742 7:93.2698 8:93.0156 9:93.1305
-1 1:27.8928 2:27.8304 3:27.8554 4:73.4373 5:73.3839 6:73.4141 7:93.2698 8:92.9521 9:93.1275
-1 1:27.8928 2:27.8304 3:27.8856 4:73.4373 5:73.3228 6:73.3915 7:93.2698 8:93.0792 9:93.1305
+1 1:27.9552 2:27.8928 3:27.9028 4:73.3228 5:73.1855 6:73.2770 7:93.1427 8:93.0792 9:93.1300
-1 1:27.9552 2:27.8928 3:27.9159 4:73.1550 5:73.1016 6:73.1295 7:93.2698 8:93.0156 9:93.1309
-1 1:27.9552 2:27.8928 3:27.9427 4:73.1397 5:73.0710 6:73.1052 7:93.2698 8:93.0156 9:93.1249
-1 1:27.9552 2:27.8928 3:27.9480 4:73.0863 5:73.0253 6:73.0675 7:93.2698 8:93.0156 9:93.1403
-1 1:27.9552 2:27.9552 3:27.9552 4:73.0253 5:73.0253 6:73.0253 7:93.2698 8:93.0156 9:93.1173
+1 1:28.0176 2:27.8928 3:27.9528 4:73.0253 5:72.9185 6:72.9680 7:93.2698 8:93.0156 9:93.1354
+1 1:28.0176 2:27.9552 3:27.9602 4:73.0863 5:72.9490 6:73.0408 7:93.1427 8:93.0156 9:93.1224
+1 1:27.9552 2:27.9552 3:27.9552 4:73.0863 5:72.8879 6:72.9724 7:93.1427 8:92.8886 9:93.1085
+1 1:28.0176 2:27.9552 3:27.9677 4:72.9490 5:72.8879 6:72.9233 7:93.2698 8:93.0792 9:93.1427
+1 1:28.0176 2:27.9552 3:27.9624 4:72.9185 5:72.8345 6:72.8618 7:93.2698 8:92.9521 9:93.1232
+1 1:28.0176 2:27.9552 3:27.9677 4:72.9490 5:72.8879 6:72.9331 7:93.1427 8:92.9521 9:93.0868
-1 1:28.0176 2:27.9552 3:27.9744 4:72.9490 5:72.9490 6:72.9490 7:93.1427 8:93.0156 9:93.1085
-1 1:28.0176 2:27.9552 3:27.9702 4:72.9490 5:72.9185 6:72.9404 7:93.1427 8:93.0156 9:93.1224
